method,iterations,problem,locales,tasks,tasksPerLocale,time
Jacobi,18603,100,1,1,1,1170.11
Gauss,10019,100,1,1,1,739.818
Jacobi,18603,100,2,2,1,656.048
Gauss,10019,100,2,2,1,413.015
Jacobi,18603,100,3,3,1,563.447
Gauss,10019,100,3,3,1,342.18
Jacobi,18603,100,4,4,1,511.014
Gauss,10019,100,4,4,1,298.656
Jacobi,18603,100,5,5,1,508.12
Gauss,10019,100,5,5,1,293.167
Jacobi,18603,100,6,6,1,532.715
Gauss,10019,100,6,6,1,311.731
Jacobi,18603,100,7,7,1,557.232
Gauss,10019,100,7,7,1,328.218
Jacobi,18603,100,8,8,1,551.613
Gauss,10019,100,8,8,1,320.177
Jacobi,18603,100,9,9,1,609.253
Gauss,10019,100,9,9,1,356.146
Jacobi,18603,100,10,10,1,605.548
Gauss,10019,100,10,10,1,353.199
Jacobi,18603,100,11,11,1,626.704
Gauss,10019,100,11,11,1,367.38
Jacobi,18603,100,12,12,1,648.478
Gauss,10019,100,12,12,1,373.482
Jacobi,41583,150,1,1,1,5808.59
Gauss,22394,150,1,1,1,3660.7
Jacobi,41583,150,2,2,1,3117.67
Gauss,22394,150,2,2,1,1954.15
Jacobi,41583,150,3,3,1,2333.44
Gauss,22394,150,3,3,1,1428.4
Jacobi,41583,150,4,4,1,1874.26
Gauss,22394,150,4,4,1,1156.32
Jacobi,41583,150,5,5,1,1780.8
Gauss,22394,150,5,5,1,1067.4
Jacobi,41583,150,6,6,1,1748.6
Gauss,22394,150,6,6,1,1062.95
Jacobi,41583,150,7,7,1,1789.98
Gauss,22394,150,7,7,1,1054.57
Jacobi,41583,150,8,8,1,1696.01
Gauss,22394,150,8,8,1,1020.33
Jacobi,41583,150,9,9,1,1743.74
Gauss,22394,150,9,9,1,1008.22
Jacobi,41583,150,10,10,1,1745.34
Gauss,22394,150,10,10,1,1001.12
Jacobi,41583,150,11,11,1,1765.83
Gauss,22394,150,11,11,1,1019.24
Jacobi,41583,150,12,12,1,1692.64
Gauss,22394,150,12,12,1,928.786
Jacobi,73683,200,1,1,1,18295.4
